N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
3,1,0.103558376578837,0.1237810221002596,46.0,37.0,3.1413068771362305,1,0.0,2.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,46.0,37.0,3.2394051551818848,1,0.0,2.0,1e-05,0.01
3,1,0.1035583765788371,0.1239327718094376,43.0,31.0,3.302185773849488,1,0.0,2.0,0.01,0.01
3,1,,,,,,1,0.0,3.0,1e-09,1e-09
3,1,,,,,,1,0.0,3.0,1e-07,1e-09
3,1,,,,,,1,0.0,3.0,1e-05,1e-09
3,1,0.1035583765793227,0.1237810220990591,43.0,32.0,3.477478504180908,1,0.0,3.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,54.0,32.0,3.6144111156463614,1,0.0,3.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,54.0,32.0,2.5319712162017822,1,0.0,3.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,54.0,32.0,3.231494426727295,1,0.0,3.0,1e-05,1e-07
3,1,0.103558376578837,0.1239327718087381,39.0,37.0,3.5460543632507324,1,0.0,3.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,54.0,32.0,2.3229122161865234,1,0.0,3.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,54.0,32.0,2.506742477416992,1,0.0,3.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,54.0,32.0,2.344214916229248,1,0.0,3.0,1e-05,1e-05
3,1,0.103558376578837,0.1239327718087381,39.0,37.0,2.209963321685791,1,0.0,3.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,52.0,31.0,3.810247659683228,1,0.0,3.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,52.0,31.0,2.465381383895874,1,0.0,3.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,52.0,31.0,2.491597890853882,1,0.0,3.0,1e-05,0.01
3,1,0.103558376578837,0.1239327718087381,39.0,25.0,1.8967087268829343,1,0.0,3.0,0.01,0.01
3,1,0.103558376578837,0.1237810221002596,51.0,38.0,2.103872776031494,1,1.0,1.0,1e-09,1e-09
3,1,0.103558376578837,0.1237810221002596,51.0,38.0,2.1060047149658203,1,1.0,1.0,1e-07,1e-09
3,1,0.103558376578837,0.1237810221002596,51.0,38.0,2.845033884048462,1,1.0,1.0,1e-05,1e-09
3,1,0.103558376578837,0.1239327718093986,47.0,38.0,2.654778957366944,1,1.0,1.0,0.01,1e-09
3,1,0.103558376578837,0.1237810221002596,49.0,38.0,2.8391573429107666,1,1.0,1.0,1e-09,1e-07
3,1,0.103558376578837,0.1237810221002596,49.0,38.0,2.6332528591156006,1,1.0,1.0,1e-07,1e-07
3,1,0.103558376578837,0.1237810221002596,49.0,38.0,3.0363807678222656,1,1.0,1.0,1e-05,1e-07
3,1,0.103558376578837,0.1239327718093986,43.0,36.0,2.7480435371398926,1,1.0,1.0,0.01,1e-07
3,1,0.103558376578837,0.1237810221002596,49.0,38.0,2.311448097229004,1,1.0,1.0,1e-09,1e-05
3,1,0.103558376578837,0.1237810221002596,49.0,38.0,2.431861400604248,1,1.0,1.0,1e-07,1e-05
3,1,0.103558376578837,0.1237810221002596,49.0,38.0,2.5091774463653564,1,1.0,1.0,1e-05,1e-05
3,1,0.103558376578837,0.1239327718093986,43.0,36.0,2.845033407211304,1,1.0,1.0,0.01,1e-05
3,1,0.103558376578837,0.1237810221002596,51.0,41.0,3.19227933883667,1,1.0,1.0,1e-09,0.01
3,1,0.103558376578837,0.1237810221002596,51.0,41.0,3.1690659523010254,1,1.0,1.0,1e-07,0.01
3,1,0.103558376578837,0.1237810221002596,51.0,41.0,2.959081649780273,1,1.0,1.0,1e-05,0.01
3,1,0.1035583765792172,0.1239327718093986,37.0,36.0,2.4763340950012207,1,1.0,1.0,0.01,0.01
